Movie,Length (minutes)
Chicken Run,84
Antz,84
Beowulf,113
How to Train Your Dragon,98
Rango,107
Rugrats in Paris:The Movie,78
Anastasia,94
Brother Bear,85
The SpongeBob Suarepants Movie,90
The Lion King,89
Mulan,88
Tim Burton's Corpse Bride,74
The Incredibles,115
TMNT,90
The Little Mermaid,83
The Tale of Despereaux,87
Return to Never Land,72
Happy Feet,108
Legends of the Guardians: The Owls of Ga'Hoole,90
Ratatouille,111
A Christmas Carol,96
Atlantis: The Lost Empire,95
Fantasia 2000,75
Toy Story 2,92
WALL-E,97
Gnomeo and Juliet,84
Ice Age: The Meltdown,90
Cars 2,113
Kung Fu Panda 2,91
Spirit: Stallion of the Cimarron,82
