Movie,Length (minutes)
Tangled,100
Open Season,100
The Emperor's New Groove,78
Shrek 2,93
Ice Age: Dawn of the Dinosaurs,87
TMNT,90
Tim Burton's The Nightmare Before Christmas,76
Arthur Christmas,97
Spirit: Stallion of the Cimarron,82
Finding Nemo,104
The Lion King,89
Wallace and Gromit: The Curse of the Were-Rabbit,85
Toy Story,81
Home on the Range,76
The Simpsons Movie,87
Beauty and the Beast,84
Chicken Run,84
Space Jam,88
Dr. Seuss' Horton Hears a Who!,88
How to Train Your Dragon,98
Shrek the Third,92
Madagascar: Excape 2 Africs,89
WALL-E,97
Cars 2,113
Mulan,88
Beowulf,113
Bee Movie,90
Shrek,90
Coraline,100
Toy Story 2,92
