Movie,Length (minutes)
Monsters Inc.,90
The Tale of Despereaux,87
The Hunchback of Notre Dame,91
Brother Bear,85
Pokemon:The First Movie,96
Ratatouille,111
Return to Never Land,72
Robots,90
Wallace and Gromit: The Curse of the Were-Rabbit,85
The Incredibles,115
The Tigger Movie,77
Happy Feet,108
Cars,116
Rugrats in Paris:The Movie,78
The Lion King,89
Toy Story 3,103
Surf's Up,85
Shrek the Third,92
Mulan,88
Rio,96
Home on the Range,76
Madagascar,86
Lilo & Stitch,85
Tim Burton's The Nightmare Before Christmas,76
The Fox and the Hound,83
Chicken Run,84
Shrek,90
WALL-E,97
Spirit: Stallion of the Cimarron,82
Ice Age: The Meltdown,90
