Movie,Length (minutes)
Rugrats in Paris:The Movie,78
Gnomeo and Juliet,84
Who Framed Roger Rabbit,103
South Park--Bigger Longer and Uncut,80
Arthur Christmas,97
Dr. Seuss' Horton Hears a Who!,88
Ice Age: The Meltdown,90
Fantasia 2000,75
Shrek 2,93
Open Season,100
Kung Fu Panda 2,91
Tim Burton's The Nightmare Before Christmas,76
The Polar Express,100
Despicable Me,95
The Land Before Time,67
Curious George,86
Finding Nemo,104
The Prince of Egypt,99
Madagascar: Excape 2 Africs,89
The Fox and the Hound,83
Cars,116
Tangled,100
How to Train Your Dragon,98
Monsters Inc.,90
Megamind,96
The Adventures of Tintin,101
Return to Never Land,72
Bee Movie,90
The Tigger Movie,77
A Christmas Carol,96
