Movie,Length (minutes)
Dr. Seuss' Horton Hears a Who!,88
Shrek 2,93
Arthur Christmas,97
Coraline,100
Fantasia 2000,75
Ice Age: The Meltdown,90
The Tale of Despereaux,87
The SpongeBob Suarepants Movie,90
Shark Tale,90
Happy Feet,108
Gnomeo and Juliet,84
Ratatouille,111
Anastasia,94
Spirit: Stallion of the Cimarron,82
How to Train Your Dragon,98
Meet the Robinsons,92
The Incredibles,115
The Princess and the Frog,95
The Road to El Dorado,99
Beowulf,113
Tim Burton's The Nightmare Before Christmas,76
The Lion King,89
Beavis and Butt-Head Do America,80
Shrek the Third,92
Hercules,92
The Jungle Book 2,78
Tim Burton's Corpse Bride,74
Happy Feet Two,105
Shrek,90
Toy Story,81
