Movie,Length (minutes)
Pokemon:The First Movie,96
Kung Fu Panda,91
Brother Bear,85
Monsters Inc.,90
Happy Feet,108
Pocahontas,81
A Christmas Carol,96
The Incredibles,115
The Rugrats Movie,81
Rango,107
Madagascar: Excape 2 Africs,89
The Road to El Dorado,99
Arthur Christmas,97
How to Train Your Dragon,98
The Lion King,89
Shrek Forever,93
The Adventures of Tintin,101
Bee Movie,90
Cars,116
The Prince of Egypt,99
Antz,84
Open Season,100
The Princess and the Frog,95
Shrek 2,93
Beavis and Butt-Head Do America,80
Up,96
Tangled,100
The Tigger Movie,77
The Jungle Book 2,78
Tarzan,88
