Movie,Length (minutes)
Bolt,96
Monster House,91
Ice Age: Dawn of the Dinosaurs,87
Ratatouille,111
The Tale of Despereaux,87
Dr. Seuss' Horton Hears a Who!,88
Who Framed Roger Rabbit,103
Pokemon:The First Movie,96
Fantasia 2000,75
Kung Fu Panda,91
Rango,107
Finding Nemo,104
The Adventures of Tintin,101
Space Jam,88
Beavis and Butt-Head Do America,80
Ice Age,81
Shrek,90
Pocahontas,81
Tarzan,88
Madagascar,86
Chicken Little,81
The Fox and the Hound,83
The Rugrats Movie,81
WALL-E,97
Aladdin,90
Toy Story,81
Arthur Christmas,97
Cars 2,113
Curious George,86
The Simpsons Movie,87
