Movie,Length (minutes)
The Lion King,89
Fantasia 2000,75
Spirit: Stallion of the Cimarron,82
Hercules,92
Wallace and Gromit: The Curse of the Were-Rabbit,85
Cloudy with a Chance of Meatballs,81
Toy Story,81
Lilo & Stitch,85
Shrek Forever,93
Meet the Robinsons,92
Toy Story 3,103
Bolt,96
Arthur Christmas,97
Monster House,91
A Bug's Life,96
The Hunchback of Notre Dame,91
The Incredibles,115
Antz,84
Happy Feet Two,105
Cars,116
The Road to El Dorado,99
Curious George,86
Chicken Little,81
Flushed Away,86
Rango,107
Brother Bear,85
Hoodwinked,95
Finding Nemo,104
Ice Age: Dawn of the Dinosaurs,87
Anastasia,94
