Movie,Length (minutes)
Bolt,96
Rugrats in Paris:The Movie,78
Despicable Me,95
Puss in Boots,90
Toy Story,81
The Prince of Egypt,99
Surf's Up,85
The Princess and the Frog,95
Cloudy with a Chance of Meatballs,81
Kung Fu Panda,91
The Lion King,89
Monsters Inc.,90
Anastasia,94
Antz,84
Toy Story 3,103
Meet the Robinsons,92
The Road to El Dorado,99
Toy Story 2,92
Barnyard: The Original Party Animals,83
The Hunchback of Notre Dame,91
The Tigger Movie,77
Wallace and Gromit: The Curse of the Were-Rabbit,85
Bee Movie,90
Tim Burton's The Nightmare Before Christmas,76
Spirit: Stallion of the Cimarron,82
WALL-E,97
Happy Feet,108
Kung Fu Panda 2,91
Curious George,86
Up,96
