Movie,Length (minutes)
A Bug's Life,96
Fantasia 2000,75
Shark Tale,90
Over the Hedge,87
Shrek 2,93
TMNT,90
Cars 2,113
Mulan,88
Monsters vs. Aliens,94
Arthur Christmas,97
Cloudy with a Chance of Meatballs,81
Pokemon:The First Movie,96
Monster House,91
The Tigger Movie,77
Dinosaur,82
Ice Age: Dawn of the Dinosaurs,87
The Simpsons Movie,87
The Incredibles,115
Bee Movie,90
The Road to El Dorado,99
Dr. Seuss' Horton Hears a Who!,88
Tarzan,88
Jimmy Neutron: Boy Genius,82
Meet the Robinsons,92
Tim Burton's Corpse Bride,74
The Polar Express,100
Up,96
Shrek,90
The Rugrats Movie,81
Atlantis: The Lost Empire,95
