Movie,Length (minutes)
Shrek 2,93
Cars,116
A Bug's Life,96
Mulan,88
Ice Age: The Meltdown,90
Beavis and Butt-Head Do America,80
Monsters Inc.,90
A Christmas Carol,96
Bolt,96
Jimmy Neutron: Boy Genius,82
The Fox and the Hound,83
Ice Age: Dawn of the Dinosaurs,87
Over the Hedge,87
Finding Nemo,104
Madagascar: Excape 2 Africs,89
Cars 2,113
Legends of the Guardians: The Owls of Ga'Hoole,90
The Simpsons Movie,87
The Road to El Dorado,99
The Adventures of Tintin,101
Bee Movie,90
Curious George,86
Flushed Away,86
Robots,90
Monster House,91
Kung Fu Panda,91
The Land Before Time,67
Meet the Robinsons,92
The Tale of Despereaux,87
Return to Never Land,72
