Movie,Length (minutes)
Happy Feet,108
Fantasia 2000,75
Ice Age: Dawn of the Dinosaurs,87
A Christmas Carol,96
Mulan,88
Brother Bear,85
Tarzan,88
How to Train Your Dragon,98
Over the Hedge,87
The Road to El Dorado,99
The Prince of Egypt,99
The Tale of Despereaux,87
The Hunchback of Notre Dame,91
Monsters Inc.,90
Dinosaur,82
Kung Fu Panda 2,91
Meet the Robinsons,92
Tim Burton's The Nightmare Before Christmas,76
Ice Age: The Meltdown,90
Toy Story 2,92
The Jungle Book 2,78
Curious George,86
Puss in Boots,90
Madagascar: Excape 2 Africs,89
Shrek Forever,93
Monsters vs. Aliens,94
Pocahontas,81
The Polar Express,100
Return to Never Land,72
The Princess and the Frog,95
