Movie,Length (minutes)
Return to Never Land,72
Bee Movie,90
Toy Story,81
The Road to El Dorado,99
Cars 2,113
Tim Burton's Corpse Bride,74
Hoodwinked,95
Over the Hedge,87
Barnyard: The Original Party Animals,83
Madagascar,86
Kung Fu Panda,91
A Christmas Carol,96
Atlantis: The Lost Empire,95
Ice Age: Dawn of the Dinosaurs,87
The SpongeBob Suarepants Movie,90
Shark Tale,90
The Emperor's New Groove,78
South Park--Bigger Longer and Uncut,80
Antz,84
Ice Age,81
Gnomeo and Juliet,84
Beauty and the Beast,84
The Tale of Despereaux,87
Toy Story 3,103
Spirit: Stallion of the Cimarron,82
The Lion King,89
Space Jam,88
How to Train Your Dragon,98
The Adventures of Tintin,101
Brother Bear,85
