Movie,Length (minutes)
Happy Feet Two,105
Toy Story 3,103
Monsters vs. Aliens,94
Rio,96
Cars,116
Lilo & Stitch,85
Puss in Boots,90
Megamind,96
Who Framed Roger Rabbit,103
Shark Tale,90
The Tigger Movie,77
Tarzan,88
The Hunchback of Notre Dame,91
Mulan,88
Surf's Up,85
The Road to El Dorado,99
The Little Mermaid,83
Ice Age: Dawn of the Dinosaurs,87
Rugrats in Paris:The Movie,78
The Polar Express,100
The SpongeBob Suarepants Movie,90
Flushed Away,86
A Christmas Carol,96
Kung Fu Panda 2,91
Despicable Me,95
Curious George,86
Cars 2,113
Tim Burton's Corpse Bride,74
Aladdin,90
Ice Age,81
