Movie,Length (minutes)
Tim Burton's Corpse Bride,74
Surf's Up,85
Monsters Inc.,90
The Hunchback of Notre Dame,91
The Fox and the Hound,83
Gnomeo and Juliet,84
Tim Burton's The Nightmare Before Christmas,76
Pokemon:The First Movie,96
Mulan,88
Shrek 2,93
Who Framed Roger Rabbit,103
Wallace and Gromit: The Curse of the Were-Rabbit,85
Hercules,92
Arthur Christmas,97
Shark Tale,90
Tarzan,88
Toy Story 2,92
Meet the Robinsons,92
Cars 2,113
Spirit: Stallion of the Cimarron,82
Ice Age: The Meltdown,90
Beauty and the Beast,84
Flushed Away,86
Megamind,96
Despicable Me,95
The Adventures of Tintin,101
Fantasia 2000,75
The Polar Express,100
The Prince of Egypt,99
Open Season,100
