Movie,Length (minutes)
Legends of the Guardians: The Owls of Ga'Hoole,90
Return to Never Land,72
How to Train Your Dragon,98
Bee Movie,90
Toy Story,81
Dr. Seuss' Horton Hears a Who!,88
Monsters vs. Aliens,94
Mulan,88
TMNT,90
The Jungle Book 2,78
Aladdin,90
Wallace and Gromit: The Curse of the Were-Rabbit,85
Toy Story 2,92
Arthur Christmas,97
Chicken Little,81
Barnyard: The Original Party Animals,83
Shrek 2,93
Shrek,90
The Fox and the Hound,83
Meet the Robinsons,92
Atlantis: The Lost Empire,95
Antz,84
Pocahontas,81
Toy Story 3,103
Tarzan,88
Shrek Forever,93
Finding Nemo,104
Rio,96
Kung Fu Panda,91
Bolt,96
