Movie,Length (minutes)
Barnyard: The Original Party Animals,83
Arthur Christmas,97
Mulan,88
How to Train Your Dragon,98
Shrek the Third,92
The Jungle Book 2,78
Coraline,100
The Fox and the Hound,83
Kung Fu Panda 2,91
Surf's Up,85
Toy Story 3,103
Over the Hedge,87
South Park--Bigger Longer and Uncut,80
Beauty and the Beast,84
Hercules,92
Hoodwinked,95
Lilo & Stitch,85
The Prince of Egypt,99
Ice Age,81
Beavis and Butt-Head Do America,80
Atlantis: The Lost Empire,95
The Tigger Movie,77
Finding Nemo,104
The Rugrats Movie,81
Home on the Range,76
Monsters Inc.,90
Beowulf,113
The Road to El Dorado,99
Madagascar,86
Puss in Boots,90
