Movie,Length (minutes)
Kung Fu Panda 2,91
Madagascar: Excape 2 Africs,89
The Polar Express,100
Flushed Away,86
Megamind,96
The Tigger Movie,77
The Little Mermaid,83
Rio,96
Mulan,88
The Hunchback of Notre Dame,91
The Prince of Egypt,99
Curious George,86
Barnyard: The Original Party Animals,83
Pokemon:The First Movie,96
A Bug's Life,96
Happy Feet Two,105
Spirit: Stallion of the Cimarron,82
Cars,116
Tangled,100
Hercules,92
The Adventures of Tintin,101
Bolt,96
Beavis and Butt-Head Do America,80
Robots,90
Cloudy with a Chance of Meatballs,81
Madagascar,86
The Jungle Book 2,78
Up,96
Lilo & Stitch,85
Brother Bear,85
