Movie,Length (minutes)
Tim Burton's Corpse Bride,74
The Little Mermaid,83
The Polar Express,100
Shrek 2,93
The SpongeBob Suarepants Movie,90
Shrek Forever,93
Legends of the Guardians: The Owls of Ga'Hoole,90
Beauty and the Beast,84
The Road to El Dorado,99
Tarzan,88
WALL-E,97
The Prince of Egypt,99
The Emperor's New Groove,78
Jimmy Neutron: Boy Genius,82
Rango,107
Who Framed Roger Rabbit,103
Ratatouille,111
Chicken Run,84
Kung Fu Panda,91
A Bug's Life,96
Rio,96
Anastasia,94
Dr. Seuss' Horton Hears a Who!,88
Monsters vs. Aliens,94
Tangled,100
Barnyard: The Original Party Animals,83
Finding Nemo,104
Ice Age: Dawn of the Dinosaurs,87
The Tale of Despereaux,87
Gnomeo and Juliet,84
