Movie,Length (minutes)
How to Train Your Dragon,98
Open Season,100
TMNT,90
Arthur Christmas,97
Atlantis: The Lost Empire,95
Happy Feet,108
Home on the Range,76
Shark Tale,90
Ice Age,81
Chicken Little,81
Aladdin,90
Hoodwinked,95
The Polar Express,100
Dinosaur,82
Curious George,86
A Christmas Carol,96
Tarzan,88
Beowulf,113
Wallace and Gromit: The Curse of the Were-Rabbit,85
Toy Story 3,103
Fantasia 2000,75
Dr. Seuss' Horton Hears a Who!,88
Coraline,100
Shrek Forever,93
The Lion King,89
Monsters vs. Aliens,94
Who Framed Roger Rabbit,103
The Prince of Egypt,99
Happy Feet Two,105
The Fox and the Hound,83
