Movie,Length (minutes)
The Princess and the Frog,95
Curious George,86
Monsters Inc.,90
The SpongeBob Suarepants Movie,90
Wallace and Gromit: The Curse of the Were-Rabbit,85
Finding Nemo,104
Anastasia,94
Fantasia 2000,75
Antz,84
How to Train Your Dragon,98
Toy Story,81
Return to Never Land,72
Beavis and Butt-Head Do America,80
Ratatouille,111
Tarzan,88
The Polar Express,100
The Prince of Egypt,99
Up,96
Shrek,90
Pocahontas,81
Shrek the Third,92
The Adventures of Tintin,101
Dr. Seuss' Horton Hears a Who!,88
Pokemon:The First Movie,96
The Fox and the Hound,83
The Tale of Despereaux,87
Shrek 2,93
Meet the Robinsons,92
Cars,116
Dinosaur,82
