Movie,Length (minutes)
Antz,84
Ice Age: The Meltdown,90
Kung Fu Panda 2,91
Megamind,96
Lilo & Stitch,85
Beauty and the Beast,84
Tarzan,88
Despicable Me,95
Shrek 2,93
Arthur Christmas,97
A Bug's Life,96
Monsters Inc.,90
Monster House,91
Up,96
Toy Story,81
A Christmas Carol,96
Ratatouille,111
Ice Age,81
The Little Mermaid,83
Barnyard: The Original Party Animals,83
Dr. Seuss' Horton Hears a Who!,88
Hercules,92
Shrek Forever,93
The Polar Express,100
The Princess and the Frog,95
Gnomeo and Juliet,84
Coraline,100
Return to Never Land,72
Shark Tale,90
Toy Story 2,92
