Movie,Length (minutes)
Arthur Christmas,97
The Hunchback of Notre Dame,91
Robots,90
Who Framed Roger Rabbit,103
South Park--Bigger Longer and Uncut,80
Chicken Little,81
Tangled,100
Happy Feet Two,105
Bee Movie,90
Kung Fu Panda 2,91
Space Jam,88
Wallace and Gromit: The Curse of the Were-Rabbit,85
Shrek Forever,93
Tim Burton's Corpse Bride,74
Cars,116
The Road to El Dorado,99
Ice Age: Dawn of the Dinosaurs,87
Ice Age: The Meltdown,90
Dr. Seuss' Horton Hears a Who!,88
Lilo & Stitch,85
Aladdin,90
Madagascar: Excape 2 Africs,89
The Princess and the Frog,95
TMNT,90
Hoodwinked,95
Atlantis: The Lost Empire,95
The SpongeBob Suarepants Movie,90
Monsters Inc.,90
Madagascar,86
Dinosaur,82
