Movie,Length (minutes)
The Fox and the Hound,83
Beauty and the Beast,84
Shrek Forever,93
Bolt,96
Monsters Inc.,90
The Little Mermaid,83
TMNT,90
Ratatouille,111
Ice Age,81
Shrek the Third,92
Chicken Run,84
Monster House,91
Wallace and Gromit: The Curse of the Were-Rabbit,85
How to Train Your Dragon,98
WALL-E,97
The Hunchback of Notre Dame,91
Cars 2,113
Pocahontas,81
Ice Age: Dawn of the Dinosaurs,87
Anastasia,94
The SpongeBob Suarepants Movie,90
Robots,90
Aladdin,90
Arthur Christmas,97
Brother Bear,85
The Prince of Egypt,99
Atlantis: The Lost Empire,95
Shark Tale,90
Dr. Seuss' Horton Hears a Who!,88
Up,96
