Movie,Length (minutes)
Cars,116
Beavis and Butt-Head Do America,80
Ice Age,81
Surf's Up,85
Spirit: Stallion of the Cimarron,82
The Tale of Despereaux,87
Tim Burton's The Nightmare Before Christmas,76
Toy Story 3,103
The Fox and the Hound,83
The Tigger Movie,77
Fantasia 2000,75
WALL-E,97
Jimmy Neutron: Boy Genius,82
Toy Story 2,92
A Christmas Carol,96
Who Framed Roger Rabbit,103
Hercules,92
Monster House,91
Puss in Boots,90
Monsters Inc.,90
The Incredibles,115
Madagascar: Excape 2 Africs,89
Rugrats in Paris:The Movie,78
Home on the Range,76
The Princess and the Frog,95
Legends of the Guardians: The Owls of Ga'Hoole,90
Bolt,96
Pocahontas,81
Flushed Away,86
Lilo & Stitch,85
