Movie,Length (minutes)
Megamind,96
Gnomeo and Juliet,84
Kung Fu Panda,91
The SpongeBob Suarepants Movie,90
Cars 2,113
Rugrats in Paris:The Movie,78
Legends of the Guardians: The Owls of Ga'Hoole,90
The Hunchback of Notre Dame,91
Rango,107
Wallace and Gromit: The Curse of the Were-Rabbit,85
The Polar Express,100
Tim Burton's Corpse Bride,74
The Adventures of Tintin,101
Fantasia 2000,75
Shrek,90
Kung Fu Panda 2,91
Hercules,92
Pocahontas,81
Pokemon:The First Movie,96
Jimmy Neutron: Boy Genius,82
The Incredibles,115
Toy Story 2,92
Open Season,100
The Little Mermaid,83
The Rugrats Movie,81
Brother Bear,85
Return to Never Land,72
Ice Age: The Meltdown,90
Who Framed Roger Rabbit,103
A Bug's Life,96
